,name_web,Year,Overall,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Trade Freedom,Monetary Freedom,Investment Freedom,Financial Freedom,Labor Freedom
34,china,2024,48.5,46.9,41.6,39.5,69.1,65.7,8.1,68.1,73.6,71.8,20.0,20.0,57.8
74,india,2024,52.9,49.2,40.8,52.1,73.7,73.5,6.9,68.3,62.2,69.1,40.0,40.0,58.4
218,china,2023,48.3,45.3,38.2,42.0,69.5,65.1,9.8,68.3,73.6,72.5,20.0,20.0,55.2
258,india,2023,52.9,49.7,53.0,42.2,78.5,73.8,5.8,64.3,59.8,70.0,40.0,40.0,58.1
402,china,2022,48.0,43.7,39.3,37.4,71.2,64.2,11.1,68.8,73.2,70.0,20.0,20.0,57.2
442,india,2022,53.9,49.9,42.4,51.5,79.5,76.2,4.0,63.9,71.0,70.0,40.0,40.0,58.2
586,china,2021,58.4,62.2,46.4,71.5,72.6,67.6,54.8,80.2,71.2,69.8,20.0,20.0,64.9
626,india,2021,56.5,59.2,48.1,55.9,78.7,78.5,18.0,76.7,69.4,72.1,40.0,40.0,41.3
770,china,2020,59.5,60.9,46.0,76.3,70.4,67.9,67.5,76.8,72.4,71.1,20.0,20.0,64.4
811,india,2020,56.5,63.0,47.2,64.1,79.4,77.9,13.1,65.6,73.4,73.0,40.0,40.0,41.2
956,china,2019,58.4,49.9,49.1,75.2,70.4,70.1,76.0,56.2,73.0,71.9,25.0,20.0,64.2
997,india,2019,55.2,57.3,47.8,61.6,79.4,77.3,14.7,57.1,72.4,72.4,40.0,40.0,41.8
1142,china,2018,57.8,46.7,47.3,65.4,70.4,71.6,85.9,54.9,73.2,71.4,25.0,20.0,61.4
1183,india,2018,54.5,55.4,47.2,54.3,79.4,77.7,13.2,56.4,72.4,75.9,40.0,40.0,41.8
1328,china,2017,57.4,48.3,41.6,60.7,70.0,73.0,92.5,53.9,73.6,71.8,20.0,20.0,63.4
1369,india,2017,52.6,55.4,44.3,44.4,77.2,77.4,11.0,52.8,72.6,75.0,40.0,40.0,41.6
1514,china,2016,52.0,20.0,36.0,,69.7,74.3,,54.2,72.8,70.6,30.0,30.0,62
