,country_type_combo,country,operational_date,management_type,management_company,legal_framework,legalframework_type,legalframework_year,regulatory_authority,authority_independence,private_participation,private_participation2,developer_incentive,decade_ofoperation,size_range,standard_corptax,corptax_type,corptax_exemp,corptax_duration,corptax_grace,total_duration,duration_type,export_min,req_other,importduty_type,importduty_input,importduty_capex,vat_sales
0,INDSpecial Economic Zone,India,1965,Public agency,Kandla Special Economic Zone Authority,Special Economic Zones Act,Dedicated SEZ law,2005,Board of Approval (BOA),No,"Designation, development, and operation",Through proposal to State Government,Yes,1960 to 1969,300 to 999 ha,30%,Absolute exemption,100% exempt,5 years,"50% exempt for additional 5 years, then 50% exempt on reinvested earnings for additional 5 years",15 years,15 to 20 years,>0%,Positive foreign exchange earnings in five years,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt from sales tax (central and state)
1,INDSpecial Economic Zone,India,1986,Public agency,MEPZ Special Economic Zone Authority,Special Economic Zones Act,Dedicated SEZ law,2005,Board of Approval (BOA),No,"Designation, development, and operation",Through proposal to State Government,Yes,1980 to 1989,100 to 299 ha,30%,Absolute exemption,100% exempt,5 years,"50% exempt for additional 5 years, then 50% exempt on reinvested earnings for additional 5 years",15 years,15 to 20 years,>0%,Positive foreign exchange earnings in five years,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt from sales tax (central and state)
2,INDSpecial Economic Zone,India,1986,Public agency,Falta Special Economic Zone Authority,Special Economic Zones Act,Dedicated SEZ law,2005,Board of Approval (BOA),No,"Designation, development, and operation",Through proposal to State Government,Yes,1980 to 1989,100 to 299 ha,30%,Absolute exemption,100% exempt,5 years,"50% exempt for additional 5 years, then 50% exempt on reinvested earnings for additional 5 years",15 years,15 to 20 years,>0%,Positive foreign exchange earnings in five years,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt from sales tax (central and state)
3,INDSpecial Economic Zone,India,1986,Public agency,Noida Special Economic Zone Authority,Special Economic Zones Act,Dedicated SEZ law,2005,Board of Approval (BOA),No,"Designation, development, and operation",Through proposal to State Government,Yes,1980 to 1989,100 to 299 ha,30%,Absolute exemption,100% exempt,5 years,"50% exempt for additional 5 years, then 50% exempt on reinvested earnings for additional 5 years",15 years,15 to 20 years,>0%,Positive foreign exchange earnings in five years,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt from sales tax (central and state)
4,CHNExport Processing Zone,China,1990,Public agency,Administrative Committee of Jinqiao Export Processing Zone,State or Provincial Council Decree,Multiple laws,Under review,Administrative Commission,No,Under review,Under review,Under review,2000 to 2009,"1,000 to 4,999 ha",25%,Depends on firm qualifications,Reduced fixed-rate at 15% for high-tech enterprises,Perpetual,N/a,Perpetual,Perpetual,100%,Must be foreign-invested high-tech enterprise to qualify for reduced corporate tax,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt on VAT on inputs and capex; reduced fixed-rate VAT at 13% for agricultural-related activities
5,INDSpecial Economic Zone,India,1994,Public agency,Visakhapatnam SEZ Authority,Special Economic Zones Act,Dedicated SEZ law,2005,Board of Approval (BOA),No,"Designation, development, and operation",Through proposal to State Government,Yes,1990 to 1999,100 to 299 ha,30%,Absolute exemption,100% exempt,5 years,"50% exempt for additional 5 years, then 50% exempt on reinvested earnings for additional 5 years",15 years,15 to 20 years,>0%,Positive foreign exchange earnings in five years,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt from sales tax (central and state)
6,CHNExport Processing Zone,China,2000,Public agency,Administrative Committee of Guangzhou Export Processing Zone,State or Provincial Council Decree,Multiple laws,Under review,Administrative Commission,No,Under review,Under review,Under review,2000 to 2009,30 to 99 ha,25%,Depends on firm qualifications,Reduced fixed-rate at 15% for high-tech enterprises,Perpetual,N/a,Perpetual,Perpetual,100%,Must be foreign-invested high-tech enterprise to qualify for reduced corporate tax,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt on VAT on inputs and capex; reduced fixed-rate VAT at 13% for agricultural-related activities
7,CHNExport Processing Zone,China,2000,Public agency,Administrative Committee of Hangzhou Export Processing Zone,State or Provincial Council Decree,Multiple laws,Under review,Administrative Commission,No,Under review,Under review,Under review,2000 to 2009,300 to 999 ha,25%,Depends on firm qualifications,Reduced fixed-rate at 15% for high-tech enterprises,Perpetual,N/a,Perpetual,Perpetual,100%,Must be foreign-invested high-tech enterprise to qualify for reduced corporate tax,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt on VAT on inputs and capex; reduced fixed-rate VAT at 13% for agricultural-related activities
8,CHNExport Processing Zone,China,2001,Public agency,Administrative Committee of Beijing Tianzhu  Export Processing Zone,State or Provincial Council Decree,Multiple laws,Under review,Administrative Commission,No,Under review,Under review,Under review,2000 to 2009,100 to 299 ha,25%,Depends on firm qualifications,Reduced fixed-rate at 15% for high-tech enterprises,Perpetual,N/a,Perpetual,Perpetual,100%,Must be foreign-invested high-tech enterprise to qualify for reduced corporate tax,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt on VAT on inputs and capex; reduced fixed-rate VAT at 13% for agricultural-related activities
9,CHNExport Processing Zone,China,2001,Public agency,Administrative Committee of Shanghai Songjiang  Export Processing Zone,State or Provincial Council Decree,Multiple laws,Under review,Administrative Commission,No,Under review,Under review,Under review,2000 to 2009,300 to 999 ha,25%,Depends on firm qualifications,Reduced fixed-rate at 15% for high-tech enterprises,Perpetual,N/a,Perpetual,Perpetual,100%,Must be foreign-invested high-tech enterprise to qualify for reduced corporate tax,100% exempt on both inputs and capex,100% exempt,100% exempt,100% exempt on VAT on inputs and capex; reduced fixed-rate VAT at 13% for agricultural-related activities
