,Year,Real GDP
0,1985,310.13
1,1986,300.92
2,1987,327.73
3,1988,408.66
4,1989,458.18
5,1990,396.59
6,1991,413.21
7,1992,492.15
8,1993,617.43
9,1994,561.69
10,1995,731.0
11,1996,860.47
12,1997,957.99
13,1998,1024.17
14,1999,1088.35
15,2000,1205.53
16,2001,1333.65
17,2002,1465.83
18,2003,1656.96
19,2004,1949.45
20,2005,2290.02
21,2006,2754.15
22,2007,3555.66
23,2008,4577.28
24,2009,5088.99
25,2010,6033.83
26,2011,7492.21
27,2012,8539.58
28,2013,9624.93
29,2014,10524.24
30,2015,11113.51
31,2016,11226.9
32,2017,12265.33
33,2018,13841.81
34,2019,14340.6
35,2020,14862.56
36,2021,17759.31
37,2022,17848.54
38,2023**,17758.05
39,2024*,18273.36
40,2025*,19534.89
41,2026*,20810.88
42,2027*,22050.81
43,2028*,23319.72
44,2029*,24589.67
