STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,PRIMSECT,Primary sector,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MAR,Morocco,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ARG,Argentina,FDIRESTR,FDI restrictiveness,FINANSERV,Financial services,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,FDIRESTR,FDI restrictiveness,PRIMSECT,Primary sector,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,FDIRESTR,FDI restrictiveness,DISTRIB,Distribution,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,FDIRESTR,FDI restrictiveness,TELECOMMS,Telecommunications,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,FDIRESTR,FDI restrictiveness,ELECTRICITY,Electricity,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,FDIRESTR,FDI restrictiveness,MFG,Manufacturing,RESTR,0 = open; 1 = closed,A,Annual,2013,,0,,A,,,,,,,
